Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
2000-10-28,36,13,1,0,0,8,11,11,21,1.181818181818182,1.0,11.0,9,4,0,0,0,0,0,0,0,0,-0.2727272727272727,-0.9090909090909092,0.1818181818181818,0.4545454545454545
2000-10-28,41,28,1,0,0,12,11,14,9,0.7272727272727273,1.4545454545454546,11.0,6,6,0,0,0,0,0,0,0,0,-0.1818181818181818,0.1818181818181818,-0.7272727272727273,0.0
2000-10-29,23,16,3,1,0,17,13,13,16,1.6363636363636365,1.0909090909090908,11.0,8,5,0,0,0,0,0,0,0,0,0.3636363636363636,-0.2727272727272727,0.5454545454545454,0.2727272727272727
2000-04-11,11,7,2,0,0,16,4,16,16,1.3636363636363635,0.5454545454545454,11.0,10,1,0,0,0,0,0,0,0,0,0.0,-1.0909090909090908,0.8181818181818182,0.8181818181818182
2000-04-11,21,23,4,3,0,19,20,17,14,1.5,1.75,12.0,10,10,0,0,0,0,0,0,0,0,0.1666666666666666,0.5,-0.25,0.0
2000-04-11,28,20,2,1,0,11,16,10,12,1.3333333333333333,1.5,12.0,6,11,0,0,0,0,0,0,0,0,0.0833333333333333,0.3333333333333333,-0.1666666666666666,-0.4166666666666667
2000-04-11,34,12,3,2,0,12,22,20,14,0.8333333333333334,1.3333333333333333,12.0,4,10,0,0,0,0,0,0,0,0,-0.6666666666666666,0.6666666666666666,-0.5,-0.5
2000-04-11,38,36,2,1,0,15,9,17,11,1.1666666666666667,1.3333333333333333,12.0,4,9,0,0,0,0,0,0,0,0,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.4166666666666667
2000-11-11,1,38,2,0,0,16,17,9,18,1.6923076923076923,1.3076923076923077,13.0,10,6,0,0,0,0,0,0,0,0,0.5384615384615384,-0.0769230769230769,0.3846153846153846,0.3076923076923077
2000-11-11,20,11,2,0,0,17,19,14,18,1.3846153846153846,1.3846153846153846,13.0,10,7,0,0,0,0,0,0,0,0,0.2307692307692307,0.0769230769230769,0.0,0.2307692307692307
2000-11-11,25,27,2,1,0,33,16,9,19,2.076923076923077,0.7692307692307693,13.0,12,3,0,0,0,0,0,0,0,0,1.8461538461538465,-0.2307692307692307,1.3076923076923077,0.6923076923076923
2000-11-11,41,24,4,1,0,13,14,14,20,0.9230769230769232,1.0769230769230769,13.0,6,6,0,0,0,0,0,0,0,0,-0.0769230769230769,-0.4615384615384615,-0.1538461538461538,0.0
2000-12-11,23,13,4,1,0,23,12,18,24,1.6153846153846154,0.8461538461538461,13.0,9,4,0,0,0,0,0,0,0,0,0.3846153846153846,-0.9230769230769232,0.7692307692307693,0.3846153846153846
2000-11-18,11,12,2,0,0,19,24,18,17,1.3846153846153846,1.2307692307692308,13.0,7,9,0,0,0,0,0,0,0,0,0.0769230769230769,0.5384615384615384,0.1538461538461538,-0.1538461538461538
