HomeTeam,AwayTeam,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,Year,Month,Day
Coventry,West Ham,NH,6,6,9,10,1.0,0.4285714285714285,7.0,7,3,0,0,0,0,0,0,0,0,-0.4285714285714285,-0.5714285714285714,0.5714285714285714,0.5714285714285714,2000,9,23
Derby,Leeds,NH,12,7,14,6,0.5714285714285714,1.1428571428571428,7.0,3,5,0,0,0,0,0,0,0,0,-0.2857142857142857,0.1428571428571428,-0.5714285714285714,-0.2857142857142857,2000,9,23
Ipswich,Arsenal,NH,7,12,9,8,1.0,1.5714285714285714,7.0,7,11,0,0,0,0,0,0,0,0,-0.2857142857142857,0.5714285714285714,-0.5714285714285714,-0.5714285714285714,2000,9,23
Liverpool,Sunderland,NH,11,6,9,10,1.5714285714285714,1.0,7.0,8,4,0,0,0,0,0,0,0,0,0.2857142857142857,-0.5714285714285714,0.5714285714285714,0.5714285714285714,2000,9,23
Man United,Chelsea,NH,17,7,4,9,2.0,0.8571428571428571,7.0,11,3,0,0,0,0,0,0,0,0,1.8571428571428568,-0.2857142857142857,1.1428571428571428,1.1428571428571428,2000,9,23
Middlesbrough,Aston Villa,NH,10,7,10,6,0.8571428571428571,1.2857142857142858,7.0,3,8,0,0,0,0,0,0,0,0,0.0,0.1428571428571428,-0.4285714285714285,-0.7142857142857143,2000,9,23
Newcastle,Charlton,NH,7,11,6,11,1.4285714285714286,1.1428571428571428,7.0,10,5,1,0,0,0,0,0,0,0,0.1428571428571428,0.0,0.2857142857142857,0.7142857142857143,2000,9,23
Tottenham,Man City,NH,8,10,7,13,1.4285714285714286,1.0,7.0,7,7,0,0,0,0,0,0,0,0,0.1428571428571428,-0.4285714285714285,0.4285714285714285,0.0,2000,9,23
Leicester,Everton,NH,6,10,1,11,2.0,1.0,7.0,13,7,0,0,0,0,0,0,0,0,0.7142857142857143,-0.1428571428571428,1.0,0.8571428571428571,2000,9,24
Aston Villa,Derby,H,7,12,6,14,1.2857142857142858,0.5714285714285714,7.0,8,3,0,0,0,0,0,0,0,0,0.1428571428571428,-0.2857142857142857,0.7142857142857143,0.7142857142857143,2000,9,30
Charlton,Coventry,NH,12,6,11,12,1.375,0.875,8.0,8,4,0,0,0,0,0,0,0,0,0.125,-0.75,0.5,0.5,2000,9,30
Everton,Ipswich,NH,11,8,12,10,1.0,1.0,8.0,5,7,0,0,0,0,0,0,0,0,-0.125,-0.25,0.0,-0.25,2000,9,30
Leeds,Tottenham,H,11,8,9,7,1.375,1.375,8.0,5,7,0,0,0,0,0,0,0,0,0.25,0.125,0.0,-0.25,2000,9,30
Man City,Newcastle,NH,10,7,13,7,1.0,1.25,8.0,5,7,0,0,0,0,0,0,0,0,-0.375,0.0,-0.25,-0.25,2000,9,30
Southampton,Middlesbrough,NH,10,11,9,11,1.125,0.875,8.0,8,3,0,0,0,0,0,0,0,0,0.125,0.0,0.25,0.625,2000,9,30
West Ham,Bradford,NH,9,3,10,11,0.75,0.625,8.0,6,2,0,0,0,0,0,0,0,0,-0.125,-1.0,0.125,0.5,2000,9,30
Arsenal,Man United,H,13,20,9,7,1.5,1.875,8.0,9,11,0,0,0,0,0,0,0,0,0.5,1.625,-0.375,-0.25,2000,1,10
Chelsea,Liverpool,H,10,12,12,10,0.875,1.5,8.0,4,9,0,0,0,0,0,0,0,0,-0.25,0.25,-0.625,-0.625,2000,1,10
Sunderland,Leicester,NH,7,7,11,2,1.0,1.875,8.0,5,11,0,0,0,0,0,0,0,0,-0.5,0.625,-0.875,-0.75,2000,1,10
Arsenal,Aston Villa,H,13,11,9,7,1.5,1.5,8.0,9,10,0,0,0,0,0,0,0,0,0.5,0.5,0.0,-0.125,2000,10,14
